Depth	Dataset	Tools	TP1	TP2	FP	TN	FN	Accuracy	Precision	Sensitivity	Specificity	F1score	False_Positive_Rate	False_Negative	Base_pair_Difference	Redundancy
20X	dataset3	ECCsplorer	8980.0	9271.0	2483.0	10000.0	1020.0	0.8441933905617578	0.7833900375119951	0.898	0.8010894816951053	0.8367888925126962	0.19891051830489465	0.102	1.19	1.03
20X	dataset4	Deep_EccScan	9622.0	9979.0	16.0	10000.0	378.0	0.9803157474020784	0.9983399045445113	0.9622	0.9984025559105432	0.979936857113759	0.001597444089456869	0.0378	1.6	1.04
20X	dataset4	Circle_finder	8695.0	14763.0	510.0	10000.0	805.0	0.9342828585707147	0.9445953286257469	0.9152631578947369	0.9514747859181731	0.929697941726811	0.048525214081826834	0.08473684210526315	1.85	1.7
20X	dataset4	CircleMap	9491.0	14344.0	2679.0	10000.0	509.0	0.8594294281052957	0.7798685291700904	0.9491	0.7887057338906854	0.8562020748759586	0.21129426610931462	0.0509	35.68	1.51
20X	dataset4	ecc_finder	8077.0	8125.0	249.0	10000.0	1923.0	0.8927354437256161	0.9700936824405477	0.8077	0.9757049468240804	0.8814798646731421	0.024295053175919602	0.1923	1.35	1.01
20X	dataset4	ECCsplorer	8909.0	9097.0	3426.0	10000.0	1091.0	0.8071800563476479	0.7222537494933117	0.8909	0.7448234768359898	0.7977613610924558	0.2551765231640101	0.1091	2.04	1.02
20X	dataset5	Deep_EccScan	9542.0	9877.0	18.0	10000.0	458.0	0.9762214007393346	0.9981171548117155	0.9542	0.9982032341784788	0.9756646216768916	0.0017967658215212617	0.0458	1.24	1.04
20X	dataset5	Circle_finder	8598.0	13020.0	508.0	10000.0	902.0	0.9295281887245102	0.9442126070722601	0.9050526315789473	0.951655881233346	0.9242179941954208	0.048344118766653975	0.09494736842105263	1.55	1.51
20X	dataset5	CircleMap	9473.0	14852.0	2437.0	10000.0	527.0	0.86789677764407	0.7953820319059614	0.9473	0.804052424218059	0.8647193062528526	0.19594757578194097	0.0527	48.03	1.57
20X	dataset5	ecc_finder	7042.0	7078.0	331.0	10000.0	2958.0	0.8382273375633269	0.9551064695510647	0.7042	0.9679605072113058	0.8106832441144306	0.032039492788694224	0.2958	1.45	1.01
